gene,log2
PLA2G2F,0.55864
UBXN10,0.55864
VWA5B1,0.55864
CAMK2N1,0.55864
MUL1,0.55864
FAM43B,0.55864
CDA,0.55864
PINK1,0.55864
DDOST,0.55864
KIF17,0.55864
SH2D5,0.55864
HP1BP3,0.55864
EIF4G3,0.55864
ECE1,0.55864
NBPF3,0.55864
ALPL,0.55864
RAP1GAP,0.55864
USP48,0.55864
LDLRAD2,0.55864
HSPG2,0.55864
CELA3B,0.55864
CELA3A,0.55864
CDC42,0.55864
WNT4,0.55864
ZBTB40,0.55864
EPHA8,0.55864
C1QC,0.55864
EPHB2,0.55864
LACTBL1,0.55864
KDM1A,0.55864
HTR1D,0.55864
HNRNPR,0.55864
ZNF436,0.55864
TCEA3,0.55864
ASAP3,0.55864
E2F2,0.55864
ID3,0.55864
RPL11,0.55864
PITHD1,0.55864
GALE,0.55864
FUCA1,0.55864
PNRC2,0.55864
SRSF10,0.55864
MYOM3,0.55864
IL22RA1,0.55864
IFNLR1,0.55864
GRHL3,0.55864
NIPAL3,0.55864
RCAN3,0.55864
NCMAP,0.55864
SRRM1,0.55864
CLIC4,0.55864
RUNX3,0.55864
SYF2,0.55864
TMEM50A,0.55864
LDLRAP1,0.55864
MAN1C1,0.55864
MTFR1L,0.55864
AUNIP,0.55864
PAQR7,0.55864
STMN1,0.55864
PAFAH2,0.55864
EXTL1,0.55864
TRIM63,0.55864
PDIK1L,0.55864
FAM110D,0.55864
CNKSR1,0.55864
CEP85,0.55864
SH3BGRL3,0.55864
UBXN11,0.55864
CD52,0.55864
ZNF683,0.55864
LIN28A,0.55864
DHDDS,0.55864
HMGN2,0.55864
RPS6KA1,0.55864
ARID1A,0.55864
PIGV,0.55864
SFN,0.55864
GPN2,0.55864
GPATCH3,0.55864
NUDC,0.55864
KDF1,0.55864
TRNP1,0.55864
FAM46B,0.55864
SLC9A1,0.55864
WDTC1,0.55864
TMEM222,0.55864
SYTL1,0.55864
MAP3K6,0.55864
FCN3,0.55864
CD164L2,0.55864
GPR3,0.55864
WASF2,0.55864
FGR,0.55864
IFI6,0.55864
FAM76A,0.55864
STX12,0.55864
PPP1R8,0.55864
THEMIS2,0.55864
RPA2,0.55864
SMPDL3B,0.55864
XKR8,0.55864
PTAFR,0.55864
DNAJC8,0.55864
SESN2,0.55864
MED18,0.55864
PHACTR4,0.55864
RCC1,0.55864
SNHG12,0.55864
TAF12,0.55864
YTHDF2,0.55864
OPRD1,0.55864
EPB41,0.55864
TMEM200B,0.55864
SRSF4,0.55864
MECR,0.55864
PTPRU,0.55864
MATN1,0.55864
LAPTM5,0.55864
SDC3,0.55864
NKAIN1,0.55864
SNRNP40,0.55864
ZCCHC17,0.55864
FABP3,0.55864
SERINC2,0.55864
LINC01225,0.55864
TINAGL1,0.55864
HCRTR1,0.55864
PEF1,0.55864
SPOCD1,0.55864
PTP4A2,0.55864
KHDRBS1,0.55864
TMEM39B,0.55864
KPNA6,0.55864
TXLNA,0.55864
CCDC28B,0.55864
IQCC,0.55864
DCDC2B,0.55864
TMEM234,0.55864
EIF3I,0.55864
FAM167B,0.55864
LCK,0.55864
HDAC1,0.55864
MARCKSL1,0.55864
TSSK3,0.55864
BSDC1,0.55864
RBBP4,0.55864
SYNC,0.55864
KIAA1522,0.55864
YARS,0.55864
S100PBP,0.55864
FNDC5,0.55864
TMEM54,0.55864
RNF19B,0.55864
AK2,0.55864
AZIN2,0.55864
TRIM62,0.55864
ZNF362,0.55864
A3GALT2,0.55864
PHC2,0.55864
ZSCAN20,0.55864
CSMD2,0.55864
C1orf94,0.55864
DLGAP3,0.55864
ZMYM6,0.55864
ZMYM1,0.55864
SFPQ,0.55864
ZMYM4,0.55864
KIAA0319L,0.55864
NCDN,0.55864
TFAP2E,0.55864
PSMB2,0.55864
C1orf216,0.55864
AGO4,0.55864
AGO3,0.55864
TEKT2,0.55864
ADPRHL2,0.55864
COL8A2,0.55864
TRAPPC3,0.55864
MAP7D1,0.55864
THRAP3,0.55864
SH3D21,0.55864
STK40,0.55864
LSM10,0.55864
OSCP1,0.55864
MRPS15,0.55864
CSF3R,0.55864
CSF3R,0.20809
NDUFS5,0.66016
MACF1,0.66016
BMP8A,0.66016
PABPC4,0.66016
HEYL,0.66016
NT5C1A,0.66016
HPCAL4,0.66016
PPIE,0.66016
BMP8B,0.66016
TRIT1,0.66016
MYCL,0.66016
MFSD2A,0.66016
CAP1,0.66016
PPT1,0.66016
RLF,0.66016
TMCO2,0.66016
ZMPSTE24,0.66016
COL9A2,0.66016
SMAP2,0.66016
ZFP69,0.66016
EXO5,0.66016
ZNF684,0.66016
RIMS3,0.66016
NFYC,0.66016
NFYC,1.37262
RAB3B,0.69405
ZFYVE9,0.13644
CC2D1B,0.13644
ORC1,0.13644
PRPF38A,0.13644
ZCCHC11,0.13644
GPX7,0.13644
COA7,0.13644
ZYG11B,0.13644
ZYG11A,0.13644
ECHDC2,0.13644
PODN,0.13644
SLC1A7,0.13644
CPT2,0.13644
C1orf123,0.13644
MAGOH,0.13644
LRP8,0.13644
DMRTB1,0.13644
GLIS1,0.13644
NDC1,0.13644
YIPF1,0.13644
DIO1,0.13644
LRRC42,0.13644
LDLRAD1,0.13644
TMEM59,0.13644
TCEANC2,0.13644
MRPL37,0.13644
SSBP3,0.13644
PARS2,0.13644
DHCR24,0.13644
TMEM61,0.13644
PCSK9,0.13644
USP24,0.13644
PRKAA2,0.13644
C8A,0.13644
C8B,0.13644
OMA1,-0.67414
LRRC40,-0.5004
SRSF11,-0.5004
ANKRD13C,-0.5004
HHLA3,-0.5004
CTH,-0.5004
PTGER3,-0.5004
ZRANB2,-0.5004
NEGR1,-0.5004
LRRIQ3,-0.5004
ERICH3,-0.5004
CRYZ,-0.5004
TYW3,-0.5004
LHX8,-0.5004
SLC44A5,-0.5004
ACADM,-0.5004
RABGGTB,-0.5004
MSH4,-0.5004
ASB17,-0.5004
PIGK,0.30504
AK5,0.30504
ZZZ3,0.30504
USP33,0.30504
NEXN,0.30504
FUBP1,0.30504
GIPC2,0.30504
IFI44L,0.30504
IFI44,0.30504
ADGRL4,0.30504
PRKACB,0.30504
PRKACB,0.38771
SAMD13,0.38771
UOX,0.38771
DNASE2B,0.38771
DNASE2B,1.17815
CNN3,1.17815
TMEM56,1.17815
PTBP2,0.0688
DPYD,0.0688
MIR137HG,0.0688
SNX7,0.0688
PALMD,0.0688
FRRS1,0.0688
AGL,0.0688
SLC35A3,0.0688
SASS6,0.0688
TRMT13,0.0688
LRRC39,0.0688
DBT,0.0688
RTCA,0.0688
CDC14A,0.0688
GPR88,0.0688
VCAM1,0.0688
SLC30A7,0.0688
DPH5,0.0688
S1PR1,0.0688
OLFM3,0.0688
COL11A1,0.0688
LOC101928436,0.0688
AMY2B,0.0688
AMY2A,0.0688
AMY1B,0.0688
PRMT6,0.0688
NTNG1,0.0688
NBPF4,0.0688
HENMT1,0.0688
PRPF38B,0.0688
STXBP3,0.0688
AKNAD1,0.0688
WDR47,0.0688
TMEM167B,0.0688
SCARNA2,0.0688
C1orf194,0.0688
KIAA1324,0.0688
SARS,0.0688
CELSR2,0.0688
PSRC1,0.0688
MYBPHL,0.0688
SORT1,0.0688
PSMA5,0.0688
SYPL2,0.0688
ATXN7L2,0.0688
GNAI3,0.0688
GNAT2,0.0688
AMPD2,0.0688
GSTM4,0.0688
CSF1,0.0688
AHCYL1,0.0688
STRIP1,0.0688
ALX3,0.0688
UBL4B,0.0688
SLC6A17,0.0688
KCNC4,0.0688
RBM15,0.0688
SLC16A4,0.0688
LAMTOR5,0.0688
PROK1,0.0688
KCNA10,0.0688
KCNA2,0.0688
KCNA3,0.0688
CD53,0.0688
LRIF1,0.0688
DRAM2,0.0688
CEPT1,0.0688
DENND2D,0.0688
CHIAP2,0.0688
CHIA,0.0688
OVGP1,0.0688
WDR77,0.0688
C1orf162,0.0688
TMIGD3,0.0688
FAM212B,0.0688
DDX20,0.0688
KCND3,0.0688
CTTNBP2NL,0.0688
ST7L,0.0688
CAPZA1,0.0688
MOV10,0.0688
RHOC,0.0688
PPM1J,0.0688
SLC16A1,0.0688
LRIG2,0.0688
MAGI3,0.0688
PHTF1,0.0688
RSBN1,0.0688
AP4B1-AS1,0.0688
AP4B1,0.0688
DCLRE1B,0.0688
HIPK1,0.0688
OLFML3,0.0688
SYT6,0.0688
TRIM33,0.0688
BCAS2,0.0688
AMPD1,0.0688
NRAS,0.0688
CSDE1,0.0688
SIKE1,0.0688
SYCP1,0.0688
TSHB,0.0688
TSPAN2,0.0688
VANGL1,0.0688
CASQ2,0.0688
SLC22A15,0.0688
MAB21L3,0.0688
ATP1A1,0.0688
CD58,0.0688
IGSF3,0.0688
C1orf137,0.0688
CD2,0.0688
PTGFRN,0.0688
CD101,0.0688
TTF2,0.0688
TRIM45,0.0688
VTCN1,0.0688
FAM46C,0.0688
MIR5096,0.44379
FAM110C,0.69927
SH3YL1,0.69927
ACP1,0.69927
SNTG2,0.69927
PXDN,0.69927
MYT1L,0.69927
C2orf48,0.69927
C2orf48,-0.14303
FAM49A,-0.14303
SMC6,-0.14303
MSGN1,-0.14303
KCNS3,-0.14303
OSR1,-0.14303
TTC32,-0.14303
WDR35,-0.14303
MATN3,-0.14303
LAPTM4A,-0.14303
SDC1,-0.14303
PUM2,-0.14303
RHOB,-0.14303
LDAH,-0.14303
APOB,-0.14303
TDRD15,-0.14303
KLHL29,-0.14303
ATAD2B,-0.14303
FKBP1B,-0.14303
SF3B6,-0.14303
FAM228B,-0.14303
ITSN2,-0.14303
CENPO,-0.14303
DNAJC27,-0.14303
EFR3B,-0.14303
POMC,-0.14303
DNMT3A,-0.14303
DTNB,-0.14303
DTNB,0.51259
DNAH6,0.04918
DNAH6,1.0516
ACTR3BP2,1.04676
TEKT4,0.81356
MAL,0.81356
MRPS5,0.81356
ZNF514,0.81356
ZNF2,0.81356
PROM2,0.81356
KCNIP3,0.81356
TRIM43B,0.81356
TRIM43,0.81356
GPAT2,0.81356
ADRA2B,0.81356
ASTL,0.81356
DUSP2,0.81356
STARD7,0.81356
TMEM127,0.81356
CIAO1,0.81356
SNRNP200,0.81356
ITPRIPL1,0.81356
NCAPH,0.81356
NEURL3,0.81356
ARID5A,0.81356
KANSL3,0.81356
FER1L5,0.81356
LMAN2L,0.81356
CNNM4,0.81356
CNNM3,0.81356
SEMA4C,0.81356
FAHD2B,0.81356
ANKRD36,0.81356
DPP10,0.3589
DDX18,0.3589
CCDC93,0.3589
INSIG2,0.3589
EN1,0.3589
MARCO,0.3589
C1QL2,0.3589
STEAP3,0.3589
C2orf76,0.3589
DBI,0.3589
SCTR,0.3589
CFAP221,0.3589
PTPN4,0.3589
EPB41L5,0.3589
TMEM185B,0.3589
INHBB,0.3589
LINC01101,0.3589
GLI2,0.3589
TFCP2L1,0.3589
NIFK,0.3589
TSN,0.3589
CNTNAP5,0.3589
GYPC,0.3589
BIN1,0.3589
CYP27C1,0.3589
ERCC3,0.3589
PROC,0.3589
MYO7B,0.3589
LIMS2,0.3589
POLR2D,0.3589
AMMECR1L,0.3589
UGGT1,0.3589
HS6ST1,0.3589
RAB6C,0.3589
POTEF,0.3589
CCDC74B,0.3589
SMPD4,0.3589
MZT2B,0.3589
TUBA3E,0.3589
CCDC115,0.3589
IMP4,0.3589
PTPN18,0.3589
CYP4F62P,0.3589
POTEI,0.3589
CFC1B,0.3589
TISP43,0.3589
CFC1,0.3589
POTEJ,0.3589
CYP4F30P,0.3589
GPR148,0.3589
AMER3,0.3589
ARHGEF4,0.3589
FAM168B,0.3589
PLEKHB2,0.3589
C2orf27A,0.3589
ANKRD30BL,0.3589
ZNF806,0.3589
GPR39,0.3589
LYPD1,0.3589
NCKAP5,0.3589
CCNT2,0.3589
MAP3K19,0.3589
ZRANB3,0.3589
UBXN4,0.3589
DARS,0.3589
PABPC1P2,0.3589
ACVR2A,0.3589
ORC4,0.3589
MBD5,0.3589
EPC2,0.3589
KIF5C,0.3589
LYPD6B,0.3589
LYPD6,0.3589
MMADHC,0.3589
RND3,0.3589
RBM43,0.3589
NMI,0.3589
TNFAIP6,0.3589
RIF1,0.3589
NEB,0.3589
CACNB4,0.3589
STAM2,0.3589
FMNL2,0.3589
PRPF40A,0.3589
ARL6IP6,0.3589
RPRM,0.3589
GALNT13,0.3589
GPD2,0.3589
ERMN,0.3589
CYTIP,0.3589
ACVR1C,0.3589
ACVR1,0.3589
TANC1,0.3589
WDSUB1,0.3589
BAZ2B,0.3589
LY75-CD302,0.3589
ITGB6,1.21743
RBMS1,1.21743
RBMS1,0.35934
SLC4A10,0.35934
DPP4,0.35934
FAP,0.35934
IFIH1,0.35934
KCNH7,0.35934
KCNH7,1.02541
TMEFF2,-0.18517
SLC39A10,-0.18517
DNAH7,-0.18517
STK17B,-0.18517
HECW2,-0.18517
CCDC150,-0.18517
GTF3C3,-0.18517
C2orf66,-0.18517
PGAP1,-0.18517
PGAP1,0.25612
HDAC4,0.65551
NDUFA10,0.65551
OR6B2,0.65551
OR6B3,0.65551
GPC1,0.65551
ANKMY1,0.65551
GPR35,0.65551
AQP12B,0.65551
AQP12A,0.65551
KIF1A,0.65551
AGXT,0.65551
C2orf54,0.65551
LOC200772,0.65551
SNED1,0.65551
MTERF4,0.65551
PASK,0.65551
PPP1R7,0.65551
ANO7,0.65551
HDLBP,0.65551
FARP2,0.65551
STK25,0.65551
BOK-AS1,0.65551
BOK,0.65551
THAP4,0.65551
ATG4B,0.65551
DTYMK,0.65551
ING5,0.65551
D2HGDH,0.65551
GAL3ST2,0.65551
NEU4,0.65551
PDCD1,0.65551
LINC01237,0.65551
CHL1,0.64032
CNTN4,0.64032
CNTN4-AS1,0.64032
IL5RA,0.64032
CRBN,0.64032
ITPR1,0.64032
ARL8B,0.64032
EDEM1,0.64032
GRM7,0.64032
LMCD1-AS1,0.64032
RAD18,0.64032
SRGAP3,0.64032
SETD5,0.64032
LHFPL4,0.64032
MTMR14,0.64032
CPNE9,0.64032
BRPF1,0.64032
OGG1,0.64032
TADA3,0.64032
ARPC4-TTLL3,0.64032
CIDEC,0.64032
JAGN1,0.64032
IL17RE,0.64032
IL17RC,0.64032
CRELD1,0.64032
PRRT3,0.64032
FANCD2,0.64032
FANCD2OS,0.64032
IRAK2,0.64032
TATDN2,0.64032
GHRLOS,0.64032
SEC13,0.64032
SLC6A1,0.64032
HRH1,0.64032
ATG7,0.64032
VGLL4,0.64032
TAMM41,0.64032
SYN2,0.64032
MKRN2,0.64032
RAF1,0.64032
TMEM40,0.64032
IQSEC1,0.64032
NUP210,0.64032
HDAC11,0.64032
FBLN2,0.64032
CHCHD4,0.64032
TMEM43,0.64032
XPC,0.64032
SLC6A6,0.64032
GRIP2,0.64032
CCDC174,0.64032
C3orf20,0.64032
FGD5,0.64032
NR2C2,0.64032
MRPS25,0.64032
RBSN,0.64032
COL6A4P1,0.64032
CAPN7,0.64032
SH3BP5,0.64032
EAF1,0.64032
COLQ,0.64032
HACL1,0.64032
BTD,0.64032
DPH3,0.64032
RFTN1,0.64032
DAZL,0.64032
PLCL2,0.64032
TBC1D5,0.64032
KCNH8,0.64032
RAB5A,0.64032
PP2D1,0.64032
KAT2B,0.64032
VENTXP7,0.64032
UBE2E2,0.64032
UBE2E1,0.64032
NR1D2,0.64032
THRB,0.64032
RARB,0.64032
TOP2B,0.64032
NGLY1,0.64032
OXSM,0.64032
LRRC3B,0.64032
NEK10,0.64032
SLC4A7,0.64032
EOMES,0.64032
AZI2,0.64032
ZCWPW2,0.64032
TGFBR2,0.64032
GADL1,0.64032
STT3B,0.64032
ZNF860,0.64032
GPD1L,0.64032
CMTM8,0.64032
DYNC1LI1,0.64032
CNOT10,0.64032
GLB1,0.64032
CRTAP,0.64032
SUSD5,0.64032
UBP1,0.64032
CLASP2,0.64032
PDCD6IP,0.64032
ARPP21,0.64032
STAC,0.64032
DCLK3,0.64032
TRANK1,0.64032
EPM2AIP1,0.64032
MLH1,0.64032
LRRFIP2,0.64032
GOLGA4,0.64032
C3orf35,0.64032
CTDSPL,0.64032
PLCD1,0.64032
ACAA1,0.64032
MYD88,0.64032
OXSR1,0.64032
SLC22A13,0.64032
XYLB,0.64032
SCN5A,0.64032
SCN11A,0.64032
WDR48,0.64032
GORASP1,0.64032
TTC21A,0.64032
CSRNP1,0.64032
XIRP1,0.64032
CX3CR1,0.64032
CCR8,0.64032
SLC25A38,0.64032
RPSA,0.64032
MOBP,0.64032
MYRIP,0.64032
EIF1B,0.64032
ENTPD3,0.64032
RPL14,0.64032
ZNF619,0.64032
ZNF620,0.64032
ZNF621,0.64032
ULK4,0.64032
TRAK1,0.64032
CCK,0.64032
LYZL4,0.64032
VIPR1,0.64032
SEC22C,0.64032
ZBTB47,0.64032
KLHL40,0.64032
CCDC13,0.64032
HIGD1A,0.64032
FAM198A,0.64032
POMGNT2,0.64032
SNRK,0.64032
ABHD5,0.64032
TOPAZ1,0.64032
TCAIM,0.64032
ZNF445,0.64032
ZNF852,0.64032
ZKSCAN7,0.64032
ZNF502,0.64032
ZNF501,0.64032
KIF15,0.64032
TMEM42,0.64032
ZDHHC3,0.64032
CDCP1,0.64032
TMEM158,0.64032
SACM1L,0.64032
SLC6A20,0.64032
LZTFL1,0.64032
FYCO1,0.64032
CCR2,0.64032
CCR5,0.64032
CCRL2,0.64032
RTP3,0.64032
LRRC2,0.64032
TDGF1,0.64032
ALS2CL,0.64032
TMIE,0.64032
MYL3,0.64032
PTH1R,0.64032
CCDC12,0.64032
NBEAL2,0.64032
NRADDP,0.64032
SETD2,0.64032
KLHL18,0.64032
PTPN23,0.64032
SCAP,0.64032
ELP6,0.64032
DHX30,0.64032
MAP4,0.64032
CDC25A,0.64032
CAMP,0.64032
NME6,0.64032
SPINK8,0.64032
FBXW12,0.64032
PLXNB1,0.64032
CCDC51,0.64032
TMA7,0.64032
ATRIP,0.64032
TREX1,0.64032
SHISA5,0.64032
PFKFB4,0.64032
UCN2,0.64032
UQCRC1,0.64032
TMEM89,0.64032
SLC26A6,0.64032
CELSR3,0.64032
IP6K2,0.64032
SLC25A20,0.64032
ARIH2OS,0.64032
ARIH2,0.64032
P4HTM,0.64032
WDR6,0.64032
DALRD3,0.64032
NDUFAF3,0.64032
IMPDH2,0.64032
USP19,0.64032
LAMB2,0.64032
CCDC71,0.64032
KLHDC8B,0.64032
C3orf84,0.64032
CCDC36,0.64032
USP4,0.64032
DAG1,0.64032
BSN,0.64032
MST1,0.64032
RNF123,0.64032
CDHR4,0.64032
SYNPR,0.05598
C3orf49,0.05598
THOC7,0.05598
ATXN7,0.05598
PSMD6,0.05598
PRICKLE2,0.05598
SLC25A26,0.05598
LRIG1,0.05598
KBTBD8,0.05598
SUCLG2,0.05598
FAM19A1,0.05598
FAM19A4,0.05598
EOGT,0.05598
UBA3,0.05598
ARL6IP5,0.05598
FRMD4B,0.05598
MITF,0.05598
EIF4E3,0.09055
PROK2,0.09055
RYBP,0.09055
SHQ1,0.09055
SHQ1,0.93724
FRG2C,0.15676
ZNF717,0.15676
ROBO1,0.99824
ROBO1,0.22014
GBE1,0.22014
PROS1,0.04977
ARL13B,0.04977
EPHA6,0.04977
ARL6,0.04977
CRYBG3,0.04977
GABRR3,0.04977
OR5AC2,0.04977
OR5H15,0.04977
CPOX,0.04977
ST3GAL6,0.04977
DCBLD2,0.04977
CMSS1,0.04977
TBC1D23,0.04977
LNP1,0.04977
TMEM45A,0.04977
ADGRG7,0.04977
TFG,0.04977
ABI3BP,0.04977
IMPG2,0.04977
SENP7,0.04977
FAM172BP,0.04977
TRMT10C,0.04977
PCNP,0.04977
RPL24,0.04977
NXPE3,0.04977
NFKBIZ,0.04977
ALCAM,0.04977
CCDC54,0.04977
BBX,0.04977
LINC00636,0.04977
CD47,0.04977
IFT57,0.04977
HHLA2,0.04977
MYH15,0.04977
DZIP3,0.04977
TRAT1,0.04977
GUCA1C,0.04977
MORC1,0.04977
DPPA2,0.04977
DPPA4,0.04977
CD96,0.04977
PLCXD2,0.04977
PHLDB2,0.04977
ABHD10,0.04977
TAGLN3,0.04977
GCSAM,0.04977
SLC9C1,0.04977
CD200,0.04977
BTLA,0.04977
ATG3,0.04977
SLC35A5,0.04977
CCDC80,0.04977
BOC,0.04977
CFAP44,0.04977
SPICE1,0.04977
SIDT1,0.04977
NAA50,0.04977
ATP6V1A,0.04977
ZDHHC23,0.04977
DRD3,0.04977
ZNF80,0.04977
ZBTB20,0.04977
ZBTB20,-26.2077
ZBTB20,0.01182
TRH,0.95514
FAM86HP,0.95514
COL6A5,0.95514
PIK3R4,0.95514
ATP2C1,0.95514
ASTE1,0.95514
NEK11,0.95514
NUDT16,0.95514
MRPL3,0.95514
ACPP,0.95514
TMEM108,0.95514
BFSP2,0.95514
CDV3,0.95514
TOPBP1,0.95514
SRPRB,0.95514
RAB6B,0.95514
C3orf36,0.95514
SLCO2A1,0.95514
RYK,0.95514
ANAPC13,0.95514
CEP63,0.95514
KY,0.95514
EPHB1,0.95514
SI,-0.11906
SLITRK3,-0.11906
BCHE,-0.11906
ZBBX,-0.11906
PDCD10,-0.11906
SERPINI1,-0.11906
GOLIM4,-0.11906
EGFEM1P,-0.11906
MECOM,-0.11906
MECOM,0.81948
SDHAP1,-0.03285
TFRC,-0.03285
ZDHHC19,-0.03285
TCTEX1D2,-0.03285
RNF168,-0.03285
SMCO1,-0.03285
FBXO45,-0.03285
NRROS,-0.03285
PIGX,-0.03285
PAK2,-0.03285
SENP5,-0.03285
NCBP2,-0.03285
NCBP2-AS2,-0.03285
PIGZ,-0.03285
DLG1,-0.03285
BDH1,-0.03285
LOC220729,-0.03285
FYTTD1,-0.03285
IQCG,-0.03285
LMLN,-0.03285
CPLX1,-22.495
CPLX1,0.03263
GAK,0.03263
TMEM175,0.03263
DGKQ,0.03263
SLC26A1,0.03263
IDUA,0.03263
RNF212,0.03263
SPON2,0.03263
CTBP1,0.03263
MAEA,0.03263
UVSSA,0.03263
CRIPAK,0.03263
NKX1-1,0.03263
FAM53A,0.03263
SLBP,0.03263
TMEM129,0.03263
TACC3,0.03263
FGFR3,0.03263
LETM1,0.03263
C4orf48,0.03263
NAT8L,0.03263
POLN,0.03263
ZFYVE28,0.03263
CFAP99,0.03263
RNF4,0.03263
FAM193A,0.03263
TNIP2,0.03263
SH3BP2,0.03263
ADD1,0.03263
MFSD10,0.03263
NOP14,0.03263
GRK4,0.03263
HTT,0.03263
RGS12,0.03263
HGFAC,0.03263
DOK7,0.03263
OTOP1,0.03263
TMEM128,0.03263
LYAR,0.03263
ZBTB49,0.03263
STX18,0.03263
MSX1,0.03263
CYTL1,0.03263
STK32B,0.03263
CRMP1,0.03263
JAKMIP1,0.03263
WFS1,0.03263
PPP2R2C,0.03263
MRFAP1,0.03263
MRFAP1L1,0.03263
BLOC1S4,0.03263
KIAA0232,0.03263
TBC1D14,0.03263
TADA2B,0.03263
AFAP1,0.03263
ABLIM2,0.03263
SH3TC1,0.03263
HTRA3,0.03263
ACOX3,0.03263
TRMT44,0.03263
HMX1,0.03263
CPEB2-AS1,-0.79263
CPEB2,-0.79263
C1QTNF7,-0.79263
CC2D2A,-0.79263
FBXL5,-0.79263
FAM200B,-0.79263
BST1,-0.79263
CD38,-0.79263
FGFBP1,-0.79263
TAPT1,-0.79263
LDB2,-0.79263
CLRN2,-0.79263
LAP3,-0.79263
FAM184B,-0.79263
DCAF16,-0.79263
NCAPG,-0.79263
LCORL,-0.79263
SLIT2,-0.79263
KCNIP4,-0.79263
ADGRA3,-0.79263
GBA3,-0.79263
PPARGC1A,-0.79263
DHX15,-0.79263
SEPSECS,0.39278
PI4K2B,0.39278
ZCCHC4,0.39278
ANAPC4,0.39278
SLC34A2,0.39278
SEL1L3,0.39278
SMIM20,0.39278
RBPJ,0.39278
CCKAR,0.39278
TBC1D19,0.39278
STIM2,0.39278
PCDH7,0.39278
ARAP2,0.39278
LOC439933,0.39278
DTHD1,0.39278
DCUN1D4,0.55496
LRRC66,0.55496
SPATA18,0.55496
USP46,0.55496
DANCR,0.55496
RASL11B,0.55496
SCFD2,0.55496
FIP1L1,0.55496
PDGFRA,0.55496
KIT,0.55496
KDR,0.55496
TMEM165,0.55496
CLOCK,0.55496
CLOCK,0.45569
PDCL2,0.45569
NMU,0.45569
EXOC1,0.45569
CEP135,0.45569
KIAA1211,0.45569
AASDH,0.45569
PPAT,0.45569
PAICS,0.45569
THEGL,0.45569
HOPX,0.45569
SPINK2,0.45569
REST,0.45569
POLR2B,0.45569
IGFBP7,0.45569
EPHA5,0.45569
EPHA5-AS1,0.45569
UBA6,0.45569
TMPRSS11F,0.45569
YTHDC1,0.45569
TMPRSS11E,0.45569
PCDH18,-0.2363
SLC7A11,-0.2363
MGARP,-0.2363
NDUFC1,-0.2363
EMB,0.05253
PARP8,0.05253
ISL1,0.05253
ITGA2,0.05253
MOCS2,0.05253
NDUFS4,0.05253
HSPB3,0.05253
SNX18,0.05253
